cut_conductance,lambda_2,upper_bound
0.09169445978784384,0.02574931833313709,0.025980096939889088
0.09529705899902183,0.02675154883625075,0.027000833383056182
0.0990412013427556,0.027792398671063527,0.028061673713780752
0.10293244793123099,0.02887332432981962,0.029164193580515446
0.10697657836811518,0.029995834639982923,0.030310030537632635
0.11117959933290629,0.031161492427101957,0.03150088647765678
0.11554775350255345,0.03237191621134533,0.03273853015905681
0.1200875288236015,0.0336287819364783,0.03402479983335376
0.1248056681486296,0.034933824729800424,0.035361605975445055
0.12970917925129716,0.036288840691294774,0.03675093412120086
0.13480534523487417,0.037695688709921495,0.03819484781654768
0.14010173534971204,0.03915629230465899,0.03969549168241841
0.14560621623572576,0.04067264148751742,0.0412550946001223
0.15132696360658268,0.042246794645356286,0.04287597302186509
