deep_capacity,coupling,single_frequency_objective,multi_frequency_objective
5.604447258652669,0.01541567072005409,204.57861158941733,973.6452918513999
5.721143517200931,0.01541567072005409,204.54053882989513,973.6928883750725
5.840269634775547,0.01541567072005409,204.50400136391923,973.7419714270272
5.961876206099617,0.01541567072005409,204.46894050509582,973.7924285314718
6.086014879383695,0.01541567072005409,204.43529961981625,973.8441511531364
6.212738378261597,0.01541567072005409,204.4030240694459,973.8970346733822
6.3421005241829445,0.01541567072005409,204.3720611529979,973.9509783580916
6.474156259271983,0.01541567072005409,204.3423600503935,974.0058853179503
6.608961669662352,0.01541567072005409,204.31387176641394,974.0616624617385
6.74657400931775,0.01541567072005409,204.28654907542676,974.118220443223
6.887051724348581,0.01541567072005409,204.2603464669586,974.175473602262
7.030454477834934,0.01541567072005409,204.23522009218155,974.233339900682
7.176843175166425,0.01541567072005409,204.21112771136487,974.2917408535061
7.3262799899096684,0.01541567072005409,204.18802864234465,974.3506014560642
7.478828390214356,0.01541567072005409,204.16588371004465,974.4098501075216
7.63455316576918,0.01541567072005409,204.14465519708224,974.4694185313072
7.793520455319022,0.01541567072005409,204.12430679548777,974.5292416929358
7.9557977747551085,0.01541567072005409,204.10480355955622,974.589257715664
8.12145404579007,0.01541567072005409,204.0861118598397,974.6494077944076
8.290559625230065,0.01541567072005409,204.06819933829996,974.70963610832
8.463186334856415,0.01541567072005409,204.05103486462562,974.7698897324071
8.639407491929441,0.01541567072005409,204.0345884937018,974.830118548521
8.819297940327445,0.01541567072005409,204.0188314242479,974.8902751560618
9.00293408233407,0.01541567072005409,204.00373595861456,974.950314782675
9.190393911087565,0.01541567072005409,203.98927546371755,975.0101951952269
9.381757043705656,0.01541567072005409,203.97542433311835,975.0698766112951
9.577104755100205,0.01541567072005409,203.9621579502257,975.1293216114111
9.776520012495926,0.01541567072005409,203.94945265260992,975.1884950522466
9.980087510667861,0.01541567072005409,203.9372856974068,975.2473639809383
10.187893707912577,0.01541567072005409,203.92563522780478,975.3058975507003
10.40002686276835,0.01541567072005409,203.9144802405826,975.3640669378777
10.616577071499952,0.01541567072005409,203.9038005546922,975.4218452605621
10.837636306363935,0.01541567072005409,203.89357678085142,975.4792074988746
11.063298454670692,0.01541567072005409,203.8837902921385,975.5361304170174
11.29365935865986,0.01541567072005409,203.87442319555544,975.5925924871601
11.528816856206015,0.01541567072005409,203.8654583045424,975.6485738152398
11.768870822371952,0.01541567072005409,203.85687911242593,975.7040560687085
12.013923211827176,0.01541567072005409,203.84866976675852,975.7590224062842
12.26407810214965,0.01541567072005409,203.84081504455787,975.8134574097272
12.519441738029167,0.01541567072005409,203.83330032838575,975.8673470176585
12.780122576391125,0.01541567072005409,203.8261115832732,975.9206784614385
13.046231332459884,0.01541567072005409,203.81923533445297,975.9734402030995
13.317881026781244,0.01541567072005409,203.81265864588005,976.0256218753368
13.595187033224041,0.01541567072005409,203.80636909951747,976.077214223538
13.878267127981236,0.01541567072005409,203.8003547753648,976.1282090498391
14.167241539591291,0.01541567072005409,203.79460423220542,976.1785991591844
14.462233000001124,0.01541567072005409,203.78910648905375,976.2283783073565
14.763366796692265,0.01541567072005409,203.78385100727826,976.277541150958
15.070770825892426,0.01541567072005409,203.77882767337556,976.326083199298
15.384575646895016,0.01541567072005409,203.7740267823846,976.3740007681536
15.70491453750971,0.01541567072005409,203.76943902190834,976.421290935361
16.031923550667624,0.01541567072005409,203.76505545673348,976.4679514982031
16.365741572205124,0.01541567072005409,203.7608675140159,976.513980932536
16.706510379850787,0.01541567072005409,203.75686696903333,976.5593783536219
17.054374703440654,0.01541567072005409,203.7530459314606,976.6041434786152
17.409482286387213,0.01541567072005409,203.749396832167,976.6482765906587
17.771983948428375,0.01541567072005409,203.74591241051806,976.691778504533
18.142033649682936,0.01541567072005409,203.74258570214977,976.7346505338294
18.519788556039863,0.01541567072005409,203.739410027217,976.7768944595764
18.9054091059091,0.01541567072005409,203.73637897908554,976.818512500291
19.299059078362266,0.01541567072005409,203.73348641345822,976.8595072833897
19.700905662692183,0.01541567072005409,203.73072643792105,976.8998818179325
20.11111952942079,0.01541567072005409,203.72809340188817,976.9396394686289
20.529874902785565,0.01541567072005409,203.72558188693756,976.9787839310843
20.957349634735294,0.01541567072005409,203.72318669751814,977.0173192082218
21.393725280466565,0.01541567072005409,203.7209028520224,977.0552495878458
21.83918717553309,0.01541567072005409,203.71872557420065,977.0925796213022
22.29392451456063,0.01541567072005409,203.71665028490938,977.1293141031888
22.758130431600886,0.01541567072005409,203.71467259418753,977.165458052081
23.23200208215856,0.01541567072005409,203.71278829363757,977.2010166922207
23.715740726926374,0.01541567072005409,203.7109933491066,977.2359954361464
24.209551817263637,0.01541567072005409,203.70928389365318,977.2703998682075
24.713645082454633,0.01541567072005409,203.70765622079608,977.3042357289401
25.228234618783937,0.01541567072005409,203.70610677801938,977.3375089002559
25.753538980466445,0.01541567072005409,203.7046321605448,977.3702253914239
26.289781272470773,0.01541567072005409,203.70322910534048,977.4023913257972
26.8371892452754,0.01541567072005409,203.70189448537508,977.4340129282555
27.395995391597882,0.01541567072005409,203.70062530409223,977.4650965133415
27.966437045138125,0.01541567072005409,203.69941869010646,977.4956484740466
28.548756481377715,0.01541567072005409,203.69827189211824,977.5256752712236
29.143201020478106,0.01541567072005409,203.6971822740143,977.5551834236019
29.75002313232135,0.01541567072005409,203.69614731017774,977.5841794983678
30.369480543738003,0.01541567072005409,203.69516458098357,977.6126701022904
31.001836347967743,0.01541567072005409,203.69423176846402,977.6406618733716
31.647359116399166,0.01541567072005409,203.69334665216002,977.668161472983
32.30632301263625,0.01541567072005409,203.6925071051252,977.6951755784801
32.97900790893994,0.01541567072005409,203.69171109010753,977.7217108762628
33.66569950509425,0.01541567072005409,203.69095665586715,977.7477740552652
34.366689449747426,0.01541567072005409,203.69024193364862,977.7733718008521
35.0822754642797,0.01541567072005409,203.68956513379885,977.7985107890986
35.81276146925018,0.01541567072005409,203.68892454251525,977.8231976814457
36.558457713476685,0.01541567072005409,203.6883185187287,977.8474391197001
37.319680905803274,0.01541567072005409,203.68774549110606,977.8712417213694
38.0967543496114,0.01541567072005409,203.68720395518343,977.8946120753108
38.89000808013195,0.01541567072005409,203.6866924706074,977.9175567376851
39.6997790046163,0.01541567072005409,203.68620965848834,977.9400822281902
40.526411045426215,0.01541567072005409,203.6857541988651,977.9621950265687
41.37025528610289,0.01541567072005409,203.6853248282685,977.9839015693733
42.2316701204777,0.01541567072005409,203.6849203373833,978.005208246972
43.11102140488768,0.01541567072005409,203.68453956880842,978.026121400784
