frequency,model,amplitude,phase_radians
0.15537558096763526,one effective reservoir,0.7155516395395958,-0.7733828581695039
0.15863565335085913,one effective reservoir,0.7082612923751699,-0.7837641022117052
0.16196412819396533,one effective reservoir,0.7008941139646422,-0.7941460506914902
0.16536244070941805,one effective reservoir,0.6934541070717253,-0.804524228732659
0.16883205622314257,one effective reservoir,0.6859454051221794,-0.8148941695789955
0.17237447080636198,one effective reservoir,0.6783722610979882,-0.8252514241892352
0.1759912119206926,one effective reservoir,0.6707390359186808,-0.8355915707392341
0.1796838390767721,one effective reservoir,0.6630501863835002,-0.8459102239820507
0.18345394450670977,one effective reservoir,0.6553102527514152,-0.8562030444180574
0.18730315385064386,one effective reservoir,0.6475238460384324,-0.8664657472289939
0.19123312685770458,one effective reservoir,0.639695635113196,-0.8766941109321524
0.1952455581016861,one effective reservoir,0.6318303336724888,-0.8868839857135108
0.19934217771173296,one effective reservoir,0.6239326871779914,-0.8970313014016222
0.20352475211835777,one effective reservoir,0.6160074598344947,-0.9071320750473694
0.2077950848151135,one effective reservoir,0.6080594216877654,-0.9171824180782462
0.21215501713624524,one effective reservoir,0.6000933359174944,-0.9271785429995835
0.21660642905065858,one effective reservoir,0.5921139463972246,-0.9371167696190571
0.22115123997254887,one effective reservoir,0.5841259655889847,-0.9469935307748475
0.22579140958903707,one effective reservoir,0.5761340628356086,-0.9568053775518665
0.23052893870517083,one effective reservoir,0.568142853108464,-0.9665489839745629
0.23536587010665758,one effective reservoir,0.5601568862626596,-0.9762211511688371
0.24030428944069696,one effective reservoir,0.5521806368458568,-0.9858188109895132
0.2453463261152951,one effective reservoir,0.5442184945006195,-0.9953390291136285
0.2504941542174505,one effective reservoir,0.5362747549939334,-1.0047790076034244
0.2557499934506013,one effective reservoir,0.5283536119012006,-1.0141360869463203
0.26111611009174596,one effective reservoir,0.5204591489656987,-1.0234077475823662
0.2665948179686437,one effective reservoir,0.5125953331483414,-1.032591610932571
0.27218847945751795,one effective reservoir,0.5047660083765908,-1.0416854399441684
0.2778995065016964,one effective reservoir,0.49697488999564415,-1.0506871391712516
0.2837303616516214,one effective reservoir,0.48922555991962474,-1.0595947544112594
0.2896835591266816,one effective reservoir,0.4815214624754332,-1.0684064719195852
0.29576166589932534,one effective reservoir,0.47386590092725933,-1.077120617226041
0.30196730280191897,one effective reservoir,0.46626203466551847,-1.0857356535780895
0.3083031456568277,one effective reservoir,0.45871287704016783,-1.0942501800366469
0.3147719264302118,one effective reservoir,0.4512212938150021,-1.1026629292508896
0.3213764344100279,one effective reservoir,0.44379000221664877,-1.1109727649388477
0.32811951740874745,one effective reservoir,0.43642157054952324,-1.1191786791006872
0.3350040829913136,one effective reservoir,0.42911841834600656,-1.1272797889914936
0.3420330997288578,one effective reservoir,0.42188281701954694,-1.1352753338800259
0.3492095984787271,one effective reservoir,0.414716890987203,-1.1431646716194532
0.35653667369136516,one effective reservoir,0.4076226192273895,-1.1509472750553902
0.36401748474461415,one effective reservoir,0.40060183723815496,-1.1586227282957615
0.371655257306016,one effective reservoir,0.39365623936123517,-1.166190722866101
0.3794532847236942,one effective reservoir,0.3867873814373558,-1.1736510537728437
0.3874149294464188,one effective reservoir,0.37999668375872964,-1.1810036154960706
0.39554362447347013,one effective reservoir,0.37328543428542793,-1.188248397931975
0.4038428748349207,one effective reservoir,0.366654792093247,-1.1953854823040977
0.41231625910297526,one effective reservoir,0.3601057910218019,-1.202415037061106
0.420967430935026,one effective reservoir,0.35363934349284476,-1.2093373137776262
0.42980012064907985,one effective reservoir,0.34725624447019987,-1.2161526430733423
0.4388181368322415,one effective reservoir,0.3409571755341905,-1.2228614305642989
